generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
98000,Chlorurus_oedema,Chlorurus_rhakoura,14.6419,0.883055,0.035886,0.7655,0
98000,Chlorurus_atrilunula,Scarus_altipinnis,6.68688,1.49018,-0.187863,0.173055,0
99000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0553627,0.409715,0.17612,0
99000,Chlorurus_atrilunula,Scarus_altipinnis,8.95659,1.33533,-0.253332,0.0327319,0
100000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.143937,-0.0651056,0.132154,0
100000,Scarus_ghobban_SY,NA,15.6923,0.093805,-0.152089,3.74498,0
100000,Chlorurus_atrilunula,Scarus_altipinnis,8.41075,1.54747,-0.233994,0.158949,0
101000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.360325,-0.165968,0.334863,0
101000,Chlorurus_atrilunula,Scarus_altipinnis,7.4224,1.28244,-0.219554,0.033931,0
102000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,1.15527,-0.0557766,0.807224,0
102000,Chlorurus_atrilunula,Scarus_altipinnis,8.62245,1.56418,-0.246039,0.096681,0
103000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.257033,-0.119411,0.165918,0
103000,Chlorurus_atrilunula,Scarus_altipinnis,8.96503,1.57895,-0.274037,0.0210923,0
103000,Hipposcarus_longiceps,NA,14.7547,0.675721,-0.179669,1.49678,0
104000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.386063,-0.0323207,0.304949,0
104000,Scarus_perrico,NA,12.9871,1.50472,0.0327218,0.799015,0
104000,Scarus_perrico,NA,13.9167,0.8241,-0.050038,0.165753,0
104000,Chlorurus_atrilunula,Scarus_altipinnis,8.88588,1.21402,-0.158584,0.187403,0
105000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.297317,0.0600261,0.543213,0
105000,Chlorurus_atrilunula,Scarus_altipinnis,8.84216,1.74731,-0.27234,0.137974,0
106000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.0861185,0.122843,0.398646,0
106000,Scarus_altipinnis,NA,15.0118,0.0201352,0.0103876,1.60771,0
106000,Chlorurus_atrilunula,Scarus_altipinnis,8.87414,1.78488,-0.287861,0.0279054,0
107000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,1.06639,-0.0369443,1.02767,0
107000,Scarus_altipinnis,NA,14.2124,0.10765,0.335354,1.89503,0
107000,Chlorurus_atrilunula,Scarus_altipinnis,8.63929,2.90222,-0.372056,0.0609847,0
107000,Hipposcarus_harid,Hipposcarus_longiceps,4.62755,0.101279,-0.0737569,0.0426164,0
107000,Cetoscarus_biocolor,NA,14.1926,0.127323,0.0272231,0.672111,0
108000,Chlorurus_atrilunula,Cetoscarus_biocolor,0,0.127363,-0.106174,0.0266008,0
